17843,county|BR.17845,facility|17845,Adhopur HSC,facility_type|HSC
7890,county|BR.6347,facility|6347,Adhpa HSC,facility_type|HSC
9277,county|BR.6000,facility|6000,Adhwa HSC,facility_type|HSC
13796,county|BR.6361,facility|6361,Adi Gopalpur HSC,facility_type|HSC
9098,county|BR.5992,facility|5992,Adi HSC,facility_type|HSC
16045,county|BR.6223,facility|6223,Adiwashi Tola Baghainia (New) HSC,facility_type|HSC
16461,county|BR.6290,facility|6290,Adneshwar APHC,facility_type|APHC
12140,county|BR.6290,facility|6290,Adneshwar HSC,facility_type|HSC
7465,county|BR.6321,facility|6321,Adrakhi Bihgha HSC,facility_type|HSC
15470,county|BR.5964,facility|5964,Adsar HSC,facility_type|HSC
12147,county|BR.6290,facility|6290,Aduria HSC,facility_type|HSC
17898,county|BR.6150,facility|6150,Adwa HSC,facility_type|HSC
11837,county|BR.6337,facility|6337,Aeghu HSC,facility_type|HSC
16729,county|BR.5969,facility|5969,Aer APHC,facility_type|APHC
12936,county|BR.6109,facility|6109,Affour HSC,facility_type|HSC
17901,county|BR.6150,facility|6150,Afiyabad HSC,facility_type|HSC
10345,county|BR.6073,facility|6073,Afrad HSC,facility_type|HSC
15289,county|BR.5844,facility|5844,Agaiya HSC,facility_type|HSC
13919,county|BR.6365,facility|6365,Aganagar HSC,facility_type|HSC
12380,county|BR.6288,facility|6288,Agarbhithi HSC,facility_type|HSC
6539,county|BR.6145,facility|6145,Agargarha HSC,facility_type|HSC
12361,county|BR.6158,facility|6158,Agarpur HSC,facility_type|HSC
12384,county|BR.6288,facility|6288,Agat HSC,facility_type|HSC
12183,county|BR.6280,facility|6280,Agatpur Ghoghrdiha HSC,facility_type|HSC
12385,county|BR.6288,facility|6288,Agatpur HSC,facility_type|HSC
12495,county|BR.6165,facility|6165,Agaul HSC,facility_type|HSC
12415,county|BR.6194,facility|6194,Agdah HSC,facility_type|HSC
16390,county|BR.5974,facility|5974,Aghara APHC,facility_type|APHC
17680,county|BR.5974,facility|5974,Aghara HSC,facility_type|HSC
15464,county|BR.5964,facility|5964,Aghara Jamui HSC,facility_type|HSC
10086,county|BR.6099,facility|6099,Aghlalpur HSC,facility_type|HSC
15966,county|BR.5909,facility|5909,Agiaon APHC,facility_type|APHC
15972,county|BR.5903,facility|5903,Agiaon Bazar APHC,facility_type|APHC
11210,county|BR.5826,facility|5826,Agrahan HSC,facility_type|HSC
6798,county|BR.6019,facility|6019,Agrail HSC,facility_type|HSC
14743,county|BR.5926,facility|5926,Agrer Khurd HSC,facility_type|HSC
14812,county|BR.6403,facility|6403,Aguwanpur HSC,facility_type|HSC
12862,county|BR.5919,facility|5919,Agwanpur HSC,facility_type|HSC
12416,county|BR.6194,facility|6194,Agwash HSC,facility_type|HSC
10244,county|BR.6055,facility|6055,Agya HSC,facility_type|HSC
16482,county|BR.6185,facility|6185,Ahadevmath  APHC,facility_type|APHC
12462,county|BR.6283,facility|6283,Aharaj Pur HSC,facility_type|HSC
12392,county|BR.6288,facility|6288,Aharajgunj HSC,facility_type|HSC
12422,county|BR.6194,facility|6194,Ahaspur HSC,facility_type|HSC
10577,county|BR.6111,facility|6111,Ahbarsekh HSC,facility_type|HSC
12483,county|BR.6165,facility|6165,Aheshwara HSC,facility_type|HSC
12359,county|BR.6158,facility|6158,Ahi HSC,facility_type|HSC
12745,county|BR.5908,facility|5908,Ahiachak HSC,facility_type|HSC
14141,county|BR.6372,facility|6372,Ahiapur HSC,facility_type|HSC
12347,county|BR.6158,facility|6158,Ahibat Han HSC,facility_type|HSC
11721,county|BR.6420,facility|6420,Ahile HSC,facility_type|HSC
18008,county|BR.6112,facility|6112,Ahilwara HSC,facility_type|HSC
16435,county|BR.6170,facility|6170,Ahilyaasthan APHC,facility_type|APHC
12187,county|BR.6280,facility|6280,Ahindwar HSC,facility_type|HSC
10989,county|BR.5776,facility|5776,Ahinoura HSC,facility_type|HSC
10520,county|BR.6314,facility|6314,Ahirauliya N HSC,facility_type|HSC
10504,county|BR.6314,facility|6314,Ahirauliya S HSC,facility_type|HSC
16795,county|BR.5883,facility|5883,Ahiro APHC,facility_type|APHC
9464,county|BR.5883,facility|5883,Ahiro HSC,facility_type|HSC
7413,county|BR.5959,facility|5959,Ahiyachak HSC,facility_type|HSC
7996,county|BR.5900,facility|5900,Ahiyapur Haspura HSC,facility_type|HSC
11944,county|BR.6345,facility|6345,Ahiyapur HSC,facility_type|HSC
9102,county|BR.5992,facility|5992,Ahiyapur Konch HSC,facility_type|HSC
7122,county|BR.5852,facility|5852,Ahiyapur Sarmera HSC,facility_type|HSC
7454,county|BR.6318,facility|6318,Ahiyasa HSC,facility_type|HSC
8301,county|BR.6387,facility|6387,Ahmadi HSC,facility_type|HSC
9863,county|BR.6020,facility|6020,Ahmadpur HSC,facility_type|HSC
12311,county|BR.6285,facility|6285,Ahpatiya HSC,facility_type|HSC
12362,county|BR.6158,facility|6158,Ahpur HSC,facility_type|HSC
16462,county|BR.6290,facility|6290,Ahrail APHC,facility_type|APHC
12141,county|BR.6290,facility|6290,Ahrail HSC,facility_type|HSC
12263,county|BR.6172,facility|6172,Ahri HSC,facility_type|HSC
12188,county|BR.6280,facility|6280,Ahthour Kh. HSC,facility_type|HSC
12318,county|BR.6285,facility|6285,Ahua Sangram HSC,facility_type|HSC
12403,county|BR.6194,facility|6194,Ahugama HSC,facility_type|HSC
12177,county|BR.6280,facility|6280,Ahuma HSC,facility_type|HSC
12722,county|BR.5906,facility|5906,Ahura HSC,facility_type|HSC
14916,county|BR.5948,facility|5948,Aifani HSC,facility_type|HSC
12142,county|BR.6290,facility|6290,Ailam HSC,facility_type|HSC
13966,county|BR.6366,facility|6366,Aima Bishunpur HSC,facility_type|HSC
12235,county|BR.6411,facility|6411,Aindibanki HSC,facility_type|HSC
14875,county|BR.6406,facility|6406,Aini HSC,facility_type|HSC
7487,county|BR.6317,facility|6317,Ainwan HSC,facility_type|HSC
12220,county|BR.6181,facility|6181,Aira HSC,facility_type|HSC
12240,county|BR.6411,facility|6411,Aitghat HSC,facility_type|HSC
12303,county|BR.6285,facility|6285,Aithinia HSC,facility_type|HSC
12293,county|BR.6285,facility|6285,Aiyakharwar HSC,facility_type|HSC
12241,county|BR.6411,facility|6411,Aiyam HSC,facility_type|HSC
11904,county|BR.6339,facility|6339,Aizni HSC,facility_type|HSC
17899,county|BR.6150,facility|6150,Aizullahpur HSC,facility_type|HSC
12277,county|BR.6185,facility|6185,Aja Ram Patti HSC,facility_type|HSC
15062,county|BR.6056,facility|6056,Ajamgarh HSC,facility_type|HSC
9578,county|BR.6300,facility|6300,Ajamnagar HSC,facility_type|HSC
6979,county|BR.6979,,Ajampur HSC,facility_type|HSC
8064,county|BR.5951,facility|5951,Ajan HSC,facility_type|HSC
17900,county|BR.6150,facility|6150,Ajapatti HSC,facility_type|HSC
12417,county|BR.6194,facility|6194,Ajara HSC,facility_type|HSC
12230,county|BR.6181,facility|6181,Ajauli HSC,facility_type|HSC
8238,county|BR.6378,facility|6378,Ajaynagar HSC,facility_type|HSC
14825,county|BR.6404,facility|6404,Ajgaiba HSC,facility_type|HSC
16032,county|BR.6199,facility|6199,Ajgaiwa HSC,facility_type|HSC
16578,county|BR.5921,facility|5921,Ajgara APHC,facility_type|APHC
12896,county|BR.5921,facility|5921,Ajgara HSC,facility_type|HSC
7790,county|BR.6157,facility|6157,Ajgari HSC,facility_type|HSC
11815,county|BR.6337,facility|6337,Ajhaur Parna HSC,facility_type|HSC
15968,county|BR.5909,facility|5909,Ajimabad Kirkiri APHC,facility_type|APHC
15225,county|BR.5822,facility|5822,Ajmeripur HSC,facility_type|HSC
8881,county|BR.5972,facility|5972,Ajmgadh HSC,facility_type|HSC
10031,county|BR.6049,facility|6049,Ajnaul HSC,facility_type|HSC
7142,county|BR.5856,facility|5856,Ajnaura HSC,facility_type|HSC
16063,county|BR.5868,facility|5868,Ajua  APHC,facility_type|APHC
10792,county|BR.6187,facility|6187,Ajua HSC,facility_type|HSC
17903,county|BR.6150,facility|6150,Ajvinagar HSC,facility_type|HSC
16551,county|BR.5906,facility|5906,Ajwan APHC,facility_type|APHC
12726,county|BR.5906,facility|5906,Ajwan HSC,facility_type|HSC
7330,county|BR.5918,facility|5918,Akair HSC,facility_type|HSC
16506,county|BR.6158,facility|6158,Akari APHC,facility_type|APHC
11636,county|BR.5903,facility|5903,Akarua HSC,facility_type|HSC
16207,county|BR.5936,facility|5936,Akasi APHC,facility_type|APHC
