500,500
3000,3000
3770,3770
5200,5200
7500,7500
8000,8000
12000,12000
15000,15000
18600,18600
25000,25000
10000-15200,10000-15200
2610-4000,2610-4000
2750-4400,2750-4400
37400-67000,37400-67000
4440-7440,4440-7440
5200-20200,5200-20200
5500-9000,5500-9000
680-965,680-965
9300-34800,9300-34800
